4.983,2.018
4.725,2.007
4.205,1.933
4.222,1.92
4.219,1.902
4.229,1.886
4.234,1.871
4.395,1.951
4.236,1.857
4.401,1.938
4.243,1.845
4.396,1.921
4.553,2.0
4.256,1.836
4.403,1.91
4.556,1.988
4.242,1.819
4.406,1.9
4.561,1.977
4.23,1.804
4.403,1.887
4.557,1.964
4.231,1.793
4.404,1.877
4.558,1.955
4.262,1.793
4.396,1.865
4.55,1.944
4.712,2.025
4.267,1.788
4.4,1.859
4.551,1.936
4.707,2.016
4.265,1.781
4.395,1.849
4.543,1.927
4.703,2.009
4.26,1.773
4.391,1.845
4.543,1.923
4.695,2.0
4.258,1.768
4.382,1.836
4.532,1.915
4.691,1.996
4.251,1.762
4.372,1.831
4.523,1.909
4.683,1.992
4.243,1.758
4.368,1.827
4.517,1.906
4.675,1.988
4.244,1.757
4.359,1.825
4.509,1.904
4.66,1.983
4.231,1.753
4.355,1.824
4.502,1.903
4.657,1.984
4.225,1.752
4.347,1.823
4.496,1.902
4.645,1.984
4.213,1.751
4.319,1.817
4.486,1.904
4.636,1.984
4.208,1.754
4.327,1.824
4.474,1.903
4.623,1.986
4.195,1.755
4.314,1.825
4.459,1.905
4.614,1.991
4.185,1.759
4.303,1.829
4.451,1.909
4.595,1.991
4.178,1.763
4.275,1.827
4.434,1.913
4.581,1.996
4.166,1.768
4.277,1.837
4.426,1.921
4.156,1.774
4.265,1.844
4.409,1.926
4.14,1.779
4.238,1.846
4.401,1.935
4.12,1.784
4.243,1.86
4.383,1.942
4.085,1.785
4.229,1.868
4.365,1.949
4.08,1.797
4.208,1.875
4.348,1.959
4.053,1.803
4.186,1.883
4.039,1.814
4.188,1.9
4.021,1.824
4.009,1.837
3.993,1.85
3.982,1.866
4.847,2.026
4.871,2.001
4.89,1.977
4.921,1.955
4.933,1.929
4.951,1.905
4.972,1.883
4.991,1.861
4.999,1.813
4.988,1.797
4.957,1.813
4.791,1.751
4.958,1.838
4.768,1.769
4.933,1.857
4.744,1.788
4.915,1.878
4.897,1.901
4.712,1.832
4.881,1.924
4.689,1.854
4.855,1.947
4.665,1.876
4.839,1.971
4.646,1.901
4.817,1.995
4.626,1.924
4.798,2.022
4.605,1.95
4.591,1.976
4.98,2.025
4.298,1.921
4.316,1.908
4.324,1.892
4.469,1.963
4.327,1.874
4.478,1.949
4.332,1.859
4.486,1.933
4.335,1.844
4.488,1.919
4.648,1.998
4.346,1.833
4.489,1.905
4.647,1.983
4.346,1.818
4.495,1.893
4.652,1.969
4.319,1.797
4.491,1.878
4.655,1.957
4.34,1.792
4.496,1.869
4.655,1.947
4.815,2.025
4.36,1.788
4.489,1.856
4.654,1.935
4.816,2.014
4.36,1.778
4.489,1.846
4.653,1.925
4.806,2.002
4.336,1.762
4.493,1.839
4.649,1.916
4.805,1.993
